App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,1000000000.0,Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Google Play Books,BOOKS_AND_REFERENCE,3.9,1433233,Varies with device,1000000000.0,Free,0,Teen,Books & Reference,"August 3, 2018",Varies with device,Varies with device
Subway Surfers,GAME,4.5,27722264,76M,1000000000.0,Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up
Maps - Navigate & Explore,TRAVEL_AND_LOCAL,4.3,9235155,Varies with device,1000000000.0,Free,0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device
Gmail,COMMUNICATION,4.3,4604324,Varies with device,1000000000.0,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
